RG,NASC mês/ano,NOME,GEN,PAI,IPP DEP,IPP AC,IPP TOP,3P DEP,3P AC,3P TOP,STAY DEP,STAY AC,STAY TOP,MP120 DEP,MP120 AC,MP120 TOP,PE365 DEP,PE365 AC,PE365 TOP,NF 3P,NR 3P,MGTe VAL,MGTe AC,MGTe TOP,PAC DEP,PAC AC,PAC TOP,MP210 DEP,MP210 AC,MP210 TOP,P450 DEP,P450 AC,P450 TOP,NN 120,NRN 120,P120 DEP,P120 AC,P120 TOP,P210 DEP,P210 AC,P210 TOP,NF 210,NR 210,NF 450,NR 450,NF,PE365,NR,STAY,AOL DEP,AOL AC,AOL TOP,ACAB DEP,ACAB AC,ACAB TOP,US,MAR DEP,MAR AC,MAR TOP,MAR,ES DEP,ES AC,ES TOP,PS DEP,PS AC,PS TOP,MS DEP,MS AC,MS TOP,SAMS,CAR DEP,CAR AC,CAR TOP,IMS DEP,IMS AC,IMS TOP,IPM DEP,IPM AC,IPM TOP,MGTe_CR DEP,MGTe_CR AC,MGTe_CR TOP,MGTe_RE DEP,MGTe_RE AC,MGTe_RE TOP,MGTe_CO DEP,MGTe_CO AC,MGTe_CO TOP,MGTe_F1 DEP,MGTe_F1 AC,MGTe_F1 TOP,IPP,P365 DEP,P365 AC,P365 TOP
JALJ 2,01/04,MR 2 DA J4,,718788,-0.66,23,9%,,,,63.89,22,6%,,,,0.80,61,2%,,,0.1%,,,,,,,,,16.94,71,0.5%,,,,,,12.30,56,0.1%,,,,,43,40,16.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPT015872PY,04/15,CPT 5872,,CCF012695PY,-0.09,1,42%,,,,49.42,2,63%,,,,0.80,31,2%,,,25%,,,,,,,,,7.43,38,14%,,,,,,3.24,34,31%,,,,,9,17,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOL 624,04/10,ESCOL EMO FIV 4 10,,803386,-0.14,16,36%,,,,51.84,21,41%,,,,0.78,65,2%,,,7%,,,,,,,,,13.12,72,3%,,,,,,6.95,64,6%,,,,,61,40,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBER 1622,09/17,MR UBER BACKUP 1622,G,UBER 461,-0.54,12,13%,,,,54.03,13,31%,,,,0.77,64,2%,,,2%,,,,,,,,,11.04,75,5%,,,,,,8.76,68,2%,,,,,52,39,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080171EE,08/08,080171  DE ESPIRITU,G,051897EE,0.31,65,94%,,,,67.62,72,3%,,,,0.76,84,2%,,,5%,,,,,,,,,7.53,86,14%,,,,,,4.65,86,18%,,,,,127,78,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDO 4942,08/18,DON JUAN DE  K DE ORO,,BRCL 694,-0.55,9,13%,,,,49.74,9,60%,,,,0.73,41,2%,,,6%,,,,,,,,,9.19,49,9%,,,,,,10.89,29,0.5%,,,,,8,22,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBGP 4138,10/14,DUBAS FIV OB,,OBGP 1193,-0.45,15,17%,,,,56.88,18,20%,,,,0.69,43,3%,,,4%,,,,,,,,,5.18,54,25%,,,,,,8.23,50,3%,,,,,16,33,8.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTQ 591,08/18,591 DE L A TRANQUERA,,AMRO 97,-0.45,12,17%,,,,55.03,12,27%,,,,0.69,42,3%,,,0.5%,,,,,,,,,24.35,47,0.1%,,,,,,12.09,38,0.1%,,,,,7,26,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOG 1590,08/15,1590 DE NOGAL DEL RIO,G,1551,-0.36,16,22%,,,,50.41,13,51%,,,,0.65,51,3%,,,18%,,,,,,,,,6.00,60,20%,,,,,,3.67,53,26%,,,,,14,33,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QERJ 1563,03/04,MR QUERENCA 1563,G,718788,-0.53,55,14%,,,,53.94,67,31%,,,,0.64,79,3%,,,2%,,,,,,,,,11.91,77,4%,,,,,,8.54,69,2%,,,,,8,70,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENT 3226,08/07,CJ SANTANNA POI 3226,,LAN9153,-0.09,15,42%,,,,60.30,22,12%,,,,0.64,42,3%,,,2%,,,,,,,,,14.74,62,2%,,,,,,8.48,60,2%,,,,,13,37,10.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBGP 4947,09/17,KEMBALI OB,G,OBGP 1193,-0.56,53,12%,,,,53.28,65,34%,,,,0.62,80,4%,,,5%,,,,,,,,,11.57,78,4%,,,,,,8.16,72,3%,,,,,27,70,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRO 480,07/10,MR BR 77 480,G,AMRO 95,-0.04,54,50%,,,,48.16,66,73%,,,,0.61,81,4%,,,40%,,,,,,,,,4.67,81,27%,,,,,,1.55,75,52%,,,,,61,71,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180688EE,08/18,180688 DE ESPIRITU,G,150563EE,0.45,13,99%,,,,54.49,15,29%,,,,0.61,63,4%,,,10%,,,,,,,,,2.57,69,41%,,,,,,7.04,62,5%,,,,,42,38,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBER 1506,12/15,MR UBER JATOBA 1506,G,UBER 783,-0.44,52,17%,,,,52.51,65,38%,,,,0.60,81,4%,,,1%,,,,,,,,,14.60,81,2%,,,,,,10.94,75,0.5%,,,,,54,71,11.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
