RG,NASC mês/ano,NOME,GEN,PAI,IPP DEP,IPP AC,IPP TOP,3P DEP,3P AC,3P TOP,STAY DEP,STAY AC,STAY TOP,MP120 DEP,MP120 AC,MP120 TOP,PE365 DEP,PE365 AC,PE365 TOP,NF 3P,NR 3P,MGTe VAL,MGTe AC,MGTe TOP,PAC DEP,PAC AC,PAC TOP,MP210 DEP,MP210 AC,MP210 TOP,P450 DEP,P450 AC,P450 TOP,NN 120,NRN 120,P120 DEP,P120 AC,P120 TOP,P210 DEP,P210 AC,P210 TOP,NF 210,NR 210,NF 450,NR 450,NF,PE365,NR,STAY,AOL DEP,AOL AC,AOL TOP,ACAB DEP,ACAB AC,ACAB TOP,US,MAR DEP,MAR AC,MAR TOP,MAR,ES DEP,ES AC,ES TOP,PS DEP,PS AC,PS TOP,MS DEP,MS AC,MS TOP,SAMS,CAR DEP,CAR AC,CAR TOP,IMS DEP,IMS AC,IMS TOP,IPM DEP,IPM AC,IPM TOP,MGTe_CR DEP,MGTe_CR AC,MGTe_CR TOP,MGTe_RE DEP,MGTe_RE AC,MGTe_RE TOP,MGTe_CO DEP,MGTe_CO AC,MGTe_CO TOP,MGTe_F1 DEP,MGTe_F1 AC,MGTe_F1 TOP,IPP,P365 DEP,P365 AC,P365 TOP
REM A1936,10/17,REM GARANTIDO,G,REM A7,,,,,,,,,,,,,,,,,,26.54,82,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09,78,2%,27.53,93,1%,9.40,89,0.5%,10.07,89,0.5%,,,,
BRMG 2988,08/17,ACESSORIO DA BEABISA,G,REM 6447,,,,,,,,,,,,,,,,,,26.44,71,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.91,69,1%,25.29,77,2%,5.99,75,3%,5.17,75,5%,,,,
PAU 4382,10/18,ONIX DA PAULETE,G,REM 8933,,,,,,,,,,,,,,,,,,26.34,70,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.14,67,1%,24.38,78,2%,6.46,75,2%,7.50,76,1%,,,,
ACNP 3146,07/17,BELO J MACHADO,G,REMC 5326,,,,,,,,,,,,,,,,,,26.33,85,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.92,81,1%,24.92,95,2%,8.18,92,1%,8.00,92,1%,,,,
FSH B722,11/17,METEORO DP,G,MGL 1714,,,,,,,,,,,,,,,,,,26.31,60,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.71,56,1%,22.94,69,2%,5.66,63,4%,5.03,63,5%,,,,
REM 8301,11/12,REM BASCAO,,REM 4677,,,,,,,,,,,,,,,,,,26.30,40,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.60,36,2%,25.46,48,1%,7.66,33,1%,8.00,33,1%,,,,
MDLO 997,07/18,F997 DA MDLO,G,REMC 5326,,,,,,,,,,,,,,,,,,26.29,51,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.42,46,2%,25.85,61,1%,9.77,56,0.5%,9.52,56,0.5%,,,,
REM A1811,09/17,REM GLADIADOR GEN ADT,G,REMC 8332,,,,,,,,,,,,,,,,,,26.28,83,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.71,79,2%,25.22,92,2%,6.61,88,2%,6.47,88,2%,,,,
COL 25171,01/17,QUERIDO COL,G,REMC 5326,,,,,,,,,,,,,,,,,,26.24,70,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.63,67,1%,23.08,77,2%,5.24,75,4%,5.38,75,4%,,,,
CSCF 4553,12/17,4553 FIV DE NAV.,G,REMC 5326,,,,,,,,,,,,,,,,,,26.09,52,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.16,49,2%,25.91,61,1%,7.56,55,1%,7.59,55,1%,,,,
REMP 602,09/18,REM HORUS GEN ADT,G,REM A149,,,,90.16,70,3%,84.00,65,13%,,,,3.17,85,0.1%,,,31.61,77,0.1%,,,,9.88,55,0.1%,,,,,,,,,19.31,86,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.23,72,0.1%,,,,,,,,,,,,,
CLRP 2193,11/18,NICOLETI DA CLR,G,REM A7,,,,89.36,57,5%,82.45,50,15%,,,,1.63,69,2%,,,30.53,57,0.5%,,,,4.60,42,6%,,,,,,,,,22.62,58,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.66,54,0.1%,,,,,,,,,,,,,
BOA A1421,08/17,KENZO TERRA BOA,G,REMC 5326,,,,91.39,82,2%,95.81,79,0.1%,,,,1.13,87,7%,,,28.76,82,0.5%,,,,6.38,71,2%,,,,,,,,,15.42,81,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.11,80,0.1%,,,,,,,,,,,,,
COLM 5053,12/17,RELOGIO COL,G,REMC 5326,,,,87.37,54,9%,90.31,48,4%,,,,1.75,67,2%,,,28.14,56,0.5%,,,,9.72,39,0.1%,,,,,,,,,14.69,57,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.78,52,0.1%,,,,,,,,,,,,,
ANP 45,09/19,APOLLO PARANA,G,REM 9862,,,,95.21,70,0.1%,88.34,65,6%,,,,1.56,78,2%,,,28.22,70,0.5%,,,,6.94,55,1%,,,,,,,,,14.09,70,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.39,67,0.5%,,,,,,,,,,,,,
RDM A709,11/17,CUIABANO   MAT.,G,RDM 7698,,,,88.56,54,6%,82.06,46,16%,,,,1.42,66,3%,,,32.87,54,0.1%,,,,0.91,38,56%,,,,,,,,,24.37,55,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.39,51,0.5%,,,,,,,,,,,,,
GREN B515,08/18,DIMITRI DA GREN.,G,COL 21517,,,,87.88,59,8%,93.68,53,0.5%,,,,1.48,71,3%,,,28.64,60,0.5%,,,,8.58,44,0.5%,,,,,,,,,13.18,62,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03,57,0.5%,,,,,,,,,,,,,
SINO 1590,05/18,DIPLOMATA SINO,G,REM A7,,,,91.12,56,2%,89.37,48,5%,,,,1.41,68,4%,,,28.89,56,0.5%,,,,1.41,41,46%,,,,,,,,,18.45,56,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,52,0.5%,,,,,,,,,,,,,
ACNP 3165,07/17,BRUTHO J MACHADO,G,REMC 5326,,,,81.64,59,28%,92.91,53,1%,,,,1.72,74,2%,,,27.55,62,1%,,,,12.04,45,0.1%,,,,,,,,,11.92,68,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.57,59,0.5%,,,,,,,,,,,,,
PHOC 1062,08/18,OSIRIS FIV STM,G,REMC 5326,,,,89.04,70,5%,92.89,66,1%,,,,1.64,79,2%,,,28.72,71,0.5%,,,,6.58,56,2%,,,,,,,,,13.06,72,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.36,68,0.5%,,,,,,,,,,,,,
CPRO 11434,10/18,ADHEFF AGROPEVA,G,REM A7,,,,92.47,39,1%,81.16,30,17%,,,,1.85,57,1%,,,29.51,45,0.5%,,,,4.45,29,7%,,,,,,,,,17.30,56,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.22,41,0.5%,,,,,,,,,,,,,
SINO 1871,05/19,EXTRA SINO,G,REM 8933,,,,76.73,70,47%,85.03,65,11%,,,,2.11,78,0.5%,,,29.96,70,0.5%,,,,8.59,55,0.5%,,,,,,,,,17.84,72,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.10,68,0.5%,,,,,,,,,,,,,
JRBT B6061,11/16,MANDAO JR TAR,G,REMC 5326,,,,92.80,82,1%,94.32,79,0.5%,,,,1.72,88,2%,,,28.26,83,0.5%,,,,2.58,71,24%,,,,,,,,,13.42,85,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.99,81,0.5%,,,,,,,,,,,,,
KAPM 6393,07/16,MAXIMO KA,G,REMC 5326,,,,89.22,71,5%,85.91,66,10%,,,,1.38,80,4%,,,27.56,72,1%,,,,5.36,57,4%,,,,,,,,,16.18,73,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.85,69,0.5%,,,,,,,,,,,,,
MNS 7631,06/16,7631 ALO BRASIL,G,REMC 5326,,,,90.16,57,3%,89.31,51,5%,,,,1.65,68,2%,,,26.42,57,1%,,,,5.89,42,3%,,,,,,,,,13.88,56,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.85,54,0.5%,,,,,,,,,,,,,
GRI B8417,10/18,B8417 FIV DA S.NICE,G,REM A7,,,,84.91,56,16%,88.22,47,6%,,,,1.68,66,2%,,,27.23,56,1%,,,,4.95,41,5%,,,,,,,,,15.34,56,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.22,52,0.5%,,,,,,,,,,,,,
WKF 4,09/18,WKF4 ARABE,G,REMC 5326,,,,81.91,39,27%,88.66,35,6%,,,,1.20,72,6%,,,28.12,55,0.5%,,,,5.44,30,3%,,,,,,,,,17.06,72,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.22,48,0.5%,,,,,,,,,,,,,
MGLP 592,10/16,BAETI 38 FIV DA BACUR,G,REMC 5326,,,,92.25,65,1%,88.72,59,5%,,,,1.39,76,4%,,,27.80,67,1%,,,,2.21,50,30%,,,,,,,,,15.50,70,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.16,63,1%,,,,,,,,,,,,,
AZAP 2549,08/18,SCUBA FIV DA BELA,G,REMC 9375,,,,90.16,71,3%,87.18,65,8%,,,,1.66,79,2%,,,28.29,70,0.5%,,,,3.10,56,17%,,,,,,,,,15.17,70,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.96,67,1%,,,,,,,,,,,,,
KAPO 1981,11/17,NOBEL KA,G,KAPO 330,,,,85.24,71,15%,86.10,65,9%,,,,1.85,81,1%,,,27.12,73,1%,,,,1.73,56,39%,,,,,,,,,18.18,80,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.92,70,1%,,,,,,,,,,,,,
RDM A3064,09/19,ESTORIL  MAT.,G,BONS 3108,,,,87.38,71,9%,91.72,65,2%,,,,2.22,80,0.5%,,,26.76,74,1%,,,,2.87,55,20%,,,,,,,,,12.95,85,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.86,72,1%,,,,,,,,,,,,,
FVC 13452,09/18,OURO NEGRO FVC,G,REM 8933,,,,84.57,70,17%,83.60,65,13%,,,,1.07,80,8%,,,27.97,71,0.5%,,,,3.79,56,11%,,,,,,,,,18.90,72,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.85,68,1%,,,,,,,,,,,,,
FVCP 551,08/16,LIDER FIV FVC,G,FVC 8596,,,,87.04,82,10%,91.97,79,2%,,,,1.70,88,2%,,,25.62,82,2%,,,,0.87,71,57%,,,,,,,,,15.13,82,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.72,80,1%,,,,,,,,,,,,,
FSH B722,11/17,METEORO DP,G,MGL 1714,,,,87.54,55,8%,91.34,49,2%,,,,1.71,71,2%,,,26.31,60,2%,,,,1.93,39,36%,,,,,,,,,15.38,69,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.71,56,1%,,,,,,,,,,,,,
JHVM18371,08/19,FORD FIV CAMPARINO,G,REMC 5326,,,,85.29,71,15%,94.03,66,0.5%,,,,1.75,79,2%,,,25.52,72,2%,,,,4.01,56,9%,,,,,,,,,13.02,77,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.68,70,1%,,,,,,,,,,,,,
SOAL 5627,07/19,BRUTÃO FIV DA 3A,G,REMC 5326,,,,85.59,71,14%,81.58,66,16%,,,,1.43,79,3%,,,27.55,72,1%,,,,6.38,56,2%,,,,,,,,,16.36,77,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.64,70,1%,,,,,,,,,,,,,
COL 25171,01/17,QUERIDO COL,G,REMC 5326,,,,86.18,70,12%,87.21,65,8%,,,,2.51,79,0.1%,,,26.24,70,2%,,,,6.09,56,2%,,,,,,,,,12.29,70,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.63,67,1%,,,,,,,,,,,,,
MNS 9399,08/18,TABU DA ALO BRASIL,G,BRMG 2299,,,,86.22,53,12%,87.26,44,8%,,,,1.41,65,4%,,,24.55,53,2%,,,,9.50,38,0.1%,,,,,,,,,11.26,55,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.63,50,1%,,,,,,,,,,,,,
MMVA1270,09/16,CONVENCIDO FIV DA JAC,G,REMC 5326,,,,82.07,83,26%,90.97,79,3%,,,,0.84,87,13%,,,26.83,82,1%,,,,1.91,72,36%,,,,,,,,,18.33,81,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.61,80,1%,,,,,,,,,,,,,
XIKU 2789,05/15,2789,G,REMC 5326,,,,93.07,59,0.5%,89.26,50,5%,,,,1.99,70,0.5%,,,24.04,60,3%,,,,2.96,44,19%,,,,,,,,,11.82,62,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.60,56,1%,,,,,,,,,,,,,
COL 24926,11/16,QUICKMAN FIV COL,G,REMC 5326,,,,95.50,72,0.1%,87.70,66,7%,,,,1.82,83,1%,,,24.42,76,3%,,,,4.77,57,5%,,,,,,,,,10.74,84,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.57,72,1%,,,,,,,,,,,,,
KAPO 1721,09/17,NEOGEN KA,G,KAPM 1683,,,,91.17,70,2%,85.39,65,11%,,,,1.48,80,3%,,,25.23,73,2%,,,,7.06,55,1%,,,,,,,,,11.87,79,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.57,70,1%,,,,,,,,,,,,,
REMC A1911,08/18,REM HEROS GEN ADT,G,REM A7,,,,87.23,71,9%,90.27,65,4%,,,,1.30,79,5%,,,25.10,71,2%,,,,7.48,56,1%,,,,,,,,,11.19,74,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.54,69,1%,,,,,,,,,,,,,
EFA 2888,08/18,2888 FIV DA 3 BACURIS,G,REMC 5326,,,,84.10,69,19%,93.14,63,1%,,,,0.83,77,14%,,,24.23,68,3%,,,,9.24,54,0.5%,,,,,,,,,11.13,66,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.54,65,1%,,,,,,,,,,,,,
REM A2239,11/17,REM GRINGO GEN ADITIV,G,REM 9852,,,,88.04,72,7%,78.46,65,21%,,,,1.61,81,2%,,,29.69,73,0.5%,,,,3.47,56,13%,,,,,,,,,18.60,75,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.53,69,1%,,,,,,,,,,,,,
PHOC 1091,09/18,OMPATI STM,G,REMC 5326,,,,83.80,49,20%,91.42,44,2%,,,,0.98,63,10%,,,24.63,52,2%,,,,7.22,36,1%,,,,,,,,,13.31,52,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.53,48,1%,,,,,,,,,,,,,
MMVA2510,12/17,GALACTICO DA JACAMIM,G,RDM 4153,,,,73.29,71,59%,88.90,66,5%,,,,1.07,79,8%,,,27.67,71,1%,,,,3.66,56,12%,,,,,,,,,20.34,70,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.52,68,1%,,,,,,,,,,,,,
RDM A323,09/17,COLISEU MAT.,G,REMC 5326,,,,78.43,62,41%,90.34,57,3%,,,,1.80,71,1%,,,26.78,62,1%,,,,3.53,47,13%,,,,,,,,,16.89,60,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.50,59,1%,,,,,,,,,,,,,
REMP 726,10/18,REM HUJALA FIV GEN AD,G,REM 8933,,,,75.91,71,50%,82.20,65,16%,,,,1.45,82,3%,,,27.89,74,0.5%,,,,4.07,56,9%,,,,,,,,,21.12,80,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.48,70,1%,,,,,,,,,,,,,
RDM A1687,10/18,DEL DIABLO MAT.,G,REMC 5326,,,,84.59,60,17%,85.48,54,10%,,,,1.55,71,3%,,,26.85,60,1%,,,,7.79,45,0.5%,,,,,,,,,13.37,60,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.42,57,1%,,,,,,,,,,,,,
RDM A709,11/17,CUIABANO   MAT.,G,RDM 7698,,,,,,,,,,,,,,,,,,32.87,54,0.1%,,,,,,,41.46,63,0.1%,,,,,,,,,,,,,,,,,5.79,62,0.1%,0.04,59,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.43,62,0.1%,,,,,,,,,,
REM A2239,11/17,REM GRINGO GEN ADITIV,G,REM 9852,,,,,,,,,,,,,,,,,,29.69,73,0.5%,,,,,,,39.88,81,0.1%,,,,,,,,,,,,,,,,,4.19,81,1%,0.32,79,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.61,81,0.1%,,,,,,,,,,
SINO 1730,01/19,EL ZORRERO SINO,G,REM A7,,,,,,,,,,,,,,,,,,28.33,79,0.5%,,,,,,,35.92,92,0.5%,,,,,,,,,,,,,,,,,4.91,92,0.5%,0.40,92,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.12,92,0.1%,,,,,,,,,,
CSCN 15686,08/16,NAVIRAI FIV 15686-16,G,REMC 5326,,,,,,,,,,,,,,,,,,27.06,81,1%,,,,,,,23.69,86,5%,,,,,,,,,,,,,,,,,7.49,86,0.1%,0.46,84,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.88,86,0.1%,,,,,,,,,,
BONN 1954,08/16,QUILOMBO FIV BONS,G,REM 6447,,,,,,,,,,,,,,,,,,26.05,73,2%,,,,,,,34.25,82,0.5%,,,,,,,,,,,,,,,,,4.79,78,0.5%,0.28,76,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.49,80,0.5%,,,,,,,,,,
SINO 1871,05/19,EXTRA SINO,G,REM 8933,,,,,,,,,,,,,,,,,,29.96,70,0.5%,,,,,,,33.51,77,0.5%,,,,,,,,,,,,,,,,,4.05,77,1%,0.87,75,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.05,77,0.5%,,,,,,,,,,
REMC 9356,09/15,REM ESTOCOLMO,G,REMC 3462,,,,,,,,,,,,,,,,,,26.76,55,1%,,,,,,,34.00,65,0.5%,,,,,,,,,,,,,,,,,4.61,65,0.5%,0.30,62,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.98,65,0.5%,,,,,,,,,,
REM A2065,10/17,REM GPS,G,REM 6447,,,,,,,,,,,,,,,,,,25.64,76,2%,,,,,,,30.85,85,1%,,,,,,,,,,,,,,,,,5.47,85,0.1%,0.24,83,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89,85,0.5%,,,,,,,,,,
API 3809,09/16,ARMADOR DO API,G,REMC 5326,,,,,,,,,,,,,,,,,,24.85,64,2%,,,,,,,29.80,73,2%,,,,,,,,,,,,,,,,,5.35,73,0.5%,0.37,70,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.36,73,0.5%,,,,,,,,,,
REM A1576,08/17,REM GALO GENETICA ADI,G,REM A7,,,,,,,,,,,,,,,,,,27.11,79,1%,,,,,,,30.98,91,1%,,,,,,,,,,,,,,,,,4.05,89,1%,0.93,88,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.71,90,0.5%,,,,,,,,,,
LCCF 619,12/18,DAROZ DA ARZ,G,REM 9852,,,,,,,,,,,,,,,,,,25.82,72,2%,,,,,,,25.08,81,4%,,,,,,,,,,,,,,,,,6.19,78,0.1%,0.31,76,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.28,79,0.5%,,,,,,,,,,
CSCQ 106,10/18,UJALA FIV DE NAVIRAI,G,CSCN 14945,,,,,,,,,,,,,,,,,,24.82,71,2%,,,,,,,25.95,79,3%,,,,,,,,,,,,,,,,,5.29,77,0.5%,0.82,75,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.22,78,0.5%,,,,,,,,,,
CPRO 11434,10/18,ADHEFF AGROPEVA,G,REM A7,,,,,,,,,,,,,,,,,,29.51,45,0.5%,,,,,,,30.05,64,2%,,,,,,,,,,,,,,,,,4.58,46,0.5%,0.50,42,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11,55,0.5%,,,,,,,,,,
OROP 1961,08/17,OCASO OROITE,G,REM 8933,,,,,,,,,,,,,,,,,,23.08,54,4%,,,,,,,31.59,64,1%,,,,,,,,,,,,,,,,,3.98,62,1%,0.65,58,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.10,63,0.5%,,,,,,,,,,
JCGG 6461,08/14,JG-6461 DA AGUA FRIA,G,IZSN A977,,,,,,,,,,,,,,,,,,24.93,57,2%,,,,,,,30.81,67,1%,,,,,,,,,,,,,,,,,3.83,65,1%,0.89,63,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.98,66,0.5%,,,,,,,,,,
AZAN 2193,09/17,RAM DA BELA,G,BONS 2612,,,,,,,,,,,,,,,,,,26.90,75,1%,,,,,,,29.96,85,2%,,,,,,,,,,,,,,,,,3.95,82,1%,0.96,81,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,83,0.5%,,,,,,,,,,
JHVM18566,09/19,FAVORITO FIV CAMPARIN,G,REM 9449,,,,,,,,,,,,,,,,,,25.83,71,2%,,,,,,,31.99,77,1%,,,,,,,,,,,,,,,,,3.84,80,1%,0.54,78,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.69,78,0.5%,,,,,,,,,,
REMC A2860,09/19,REM INSTRUTOR GEN. AD,G,REMC A923,,,,,,,,,,,,,,,,,,25.53,64,2%,,,,,,,28.30,72,2%,,,,,,,,,,,,,,,,,4.87,72,0.5%,0.35,70,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.29,72,0.5%,,,,,,,,,,
FSIM 2463,09/16,FSIM 2463,G,LEM 430,,,,,,,,,,,,,,,,,,25.88,44,2%,,,,,,,29.19,58,2%,,,,,,,,,,,,,,,,,4.48,54,0.5%,0.44,51,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.19,56,0.5%,,,,,,,,,,
AZAP 2549,08/18,SCUBA FIV DA BELA,G,REMC 9375,,,,,,,,,,,,,,,,,,28.29,70,0.5%,,,,,,,33.63,78,0.5%,,,,,,,,,,,,,,,,,3.21,77,2%,0.44,75,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.93,77,0.5%,,,,,,,,,,
REMC A2199,09/18,REM HARDROCK GEN ADT,G,REM A149,,,,,,,,,,,,,,,,,,27.63,73,1%,,,,,,,31.04,83,1%,,,,,,,,,,,,,,,,,3.62,81,2%,0.63,80,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.88,82,0.5%,,,,,,,,,,
AZAP 927,08/13,LEGAL DA BELA,G,ZAN 14,,,,,,,,,,,,,,,,,,21.29,82,6%,,,,,,,30.98,87,1%,,,,,,,,,,,,,,,,,4.13,86,1%,0.21,85,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.79,86,0.5%,,,,,,,,,,
REMP 726,10/18,REM HUJALA FIV GEN AD,G,REM 8933,,,,,,,,,,,,,,,,,,27.89,74,0.5%,,,,,,,40.57,83,0.1%,,,,,,,,,,,,,,,,,1.24,83,13%,0.51,82,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.77,83,0.5%,,,,,,,,,,
MFBN 5349,09/18,QUALITHOR FIV G.SALES,G,REMC 5326,,,,,,,,,,,,,,,,,,24.97,70,2%,,,,,,,22.33,77,6%,,,,,,,,,,,,,,,,,5.93,77,0.1%,0.55,74,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.73,77,0.5%,,,,,,,,,,
REMP 816,10/18,REM HERMOSO FIV GEN A,G,REM A7,,,,,,,,,,,,,,,,,,27.23,78,1%,,,,,,,29.48,88,2%,,,,,,,,,,,,,,,,,2.23,89,6%,1.92,88,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.49,88,0.5%,,,,,,,,,,
MNS 8377,06/17,8377 FIV ALO BRASIL,G,REMC 5326,,,,,,,,,,,,,,,,,,25.97,55,2%,,,,,,,28.86,63,2%,,,,,,,,,,,,,,,,,4.15,64,1%,0.39,61,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09,63,0.5%,,,,,,,,,,
FVC 13452,09/18,OURO NEGRO FVC,G,REM 8933,,,,,,,,,,,,,,,,,,27.97,71,0.5%,,,,,,,34.16,78,0.5%,,,,,,,,,,,,,,,,,2.21,79,6%,0.83,77,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.08,78,0.5%,,,,,,,,,,
REMC 9185,08/15,REM EL ESPANHOL,G,REMC 5326,,,,,,,,,,,,,,,,,,25.41,76,2%,,,,,,,22.58,85,6%,,,,,,,,,,,,,,,,,6.18,83,0.1%,0.06,81,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.03,84,0.5%,,,,,,,,,,
FSH B123,09/16,LIDER DP,G,26.82,,,,,,,,,,,,,,,,,,75,3%,,,,,,,,86,3%,4.81,,,,,,,,,,,,,,,,,79,0.5%,0.24,77,26%,27.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.5%,23.41,,,,,,,,,,
MMVA2510,12/17,GALACTICO DA JACAMIM,G,RDM 4153,,,,,,,,,,,,,,,,,,27.67,71,1%,,,,,,,38.81,78,0.1%,,,,,,,,,,,,,,,,,1.20,78,14%,0.62,76,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.94,78,0.5%,,,,,,,,,,
LCN 2887,08/18,ZAMBE ENGENHO 2,,REM 9274,,,,,,,,,,,,,,,,,,25.84,32,2%,,,,,,,29.31,50,2%,,,,,,,,,,,,,,,,,3.30,55,2%,0.92,52,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.94,52,0.5%,,,,,,,,,,
GSAB 6904,12/17,BARON FIV DA AFB,G,RDM 6023,,,,,,,,,,,,,,,,,,25.60,54,2%,,,,,,,31.21,64,1%,,,,,,,,,,,,,,,,,3.59,65,2%,0.29,62,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.92,64,1%,,,,,,,,,,
