nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
RINCON CHIMARRAO TE2059 DEL SARANDY,O160403,2012,,P,PO,7287,,2,21,"0,43","0,47",71,"1,78","0,45",51,,,,,"0,06",53,"0,08",41,"0,15",22,0,65,"-0,02",41,"5,47",52,2,19,"0,54","0,24",57,"2,32",54,0,73,"0,07",43,"0,16",25,"-0,03",74,"-0,01",44,"0,34","0,36",31,"4,29",55
LEACHMAN COPPER ROB 1204D,IA-545,1994,,V,IMP,,,29,447,"-1,31","0,77",3,"-0,49","0,82",74,"3,2","0,57",2,434,"0,04",58,"0,01",65,"0,01",70,"0,08",38,"-0,02",38,"-0,68",71,25,335,"4,12","0,6",16,"3,63",46,"0,03",62,"-0,03",79,"-0,04",82,"0,07",39,"-0,01",45,"-0,55","0,69",95,"4,17",55
SINCLAIR RITO LEGACY 3R9,IA-1088,2003,,P,IMP,,,6,25,"-0,19","0,45",26,"-0,56","0,43",75,"3,82","0,08",1,14,"0,12",29,"0,19",15,"0,18",16,"0,14",20,"-0,08",17,"2,08",63,6,20,"0,82","0,22",52,"0,25",68,"0,16",23,"0,18",17,"0,12",35,"0,16",16,"-0,13",9,"-0,36","0,37",89,"4,14",55
CMC TAINA DO CEDRO C5TE ZORZAL,O162880,2012,,P,PO,17029,,2,64,"-0,2","0,56",25,"1,65","0,55",53,"-2,1","0,17",91,16,"0,02",68,"0,15",24,"0,13",28,"-0,06",83,"-0,08",16,"3,7",58,2,56,"2,65","0,33",30,"4,3",41,"-0,01",75,"0,17",18,"0,16",25,"-0,1",90,"-0,09",17,"-0,32","0,47",88,"4,09",55
HERITAGE DO CARUMBE 1774,O151587,2010,,P,PO,269,,3,25,"0,47","0,43",74,"0,4","0,48",66,"1,59","0,08",10,2,"0,11",35,"-0,09",91,"0,04",57,"0,07",38,"0,13",96,"3,91",57,3,20,"0,59","0,26",56,"0,99",63,"0,12",33,"-0,07",89,"0,04",60,"0,09",33,"0,13",95,"-0,34","0,34",89,"4,04",55
TRES MARIAS 8561 SALVAJE 7630-T/E,A.779131,2009,,P,IMP,,,10,34,"1,21","0,49",96,"0,94","0,49",61,"-0,86","0,19",73,33,"0,06",52,"-0,11",94,"-0,03",81,"0,06",43,"0,05",78,"3,49",58,8,18,"0,53","0,26",57,"1,48",60,"0,07",49,"-0,1",94,"-0,02",78,"0,05",46,"0,02",62,"0,11","0,42",53,"4,02",56
TÓLIO TE411 BRIGADIER WIDESPREAD ELOGIO,O182314,2014,,V,PO,14838,,1,22,"-0,65","0,45",9,"0,91","0,46",61,,,,,"0,14",24,"0,18",17,"0,14",25,"0,15",17,"0,05",79,"6,38",48,1,20,"-2,19","0,3",91,"-1,27",76,"0,16",22,"0,15",21,"0,18",21,"0,1",29,"0,02",65,"0,26","0,44",38,"4,02",56
BLACK PRINCE 11999 DON LEO DON LEO,IA-1125,2006,,P,IMP,,Y,27,484,0,"0,76",41,"0,88","0,81",61,"-1,06","0,4",76,250,"0,02",67,"0,06",51,"0,02",66,"0,04",49,"-0,09",15,"1,82",64,23,349,"0,4","0,55",59,"1,28",61,"0,02",67,"0,08",38,"0,04",60,"0,11",25,"-0,09",18,"0,83","0,74",6,"4,01",56
BECKTON EPIC R397 K,IA-1323,2005,,V,IMP,,,7,297,"0,02","0,55",42,"-0,02","0,72",69,"-1,25","0,16",79,38,"-0,01",76,"-0,02",74,"-0,02",79,"0,14",20,"0,12",95,"-1,47",74,6,180,"0,73","0,42",53,"0,71",64,"0,1",38,"0,14",23,"0,1",40,"0,14",19,"0,15",96,"0,67","0,57",12,4,56
RITO 6I6 OF 4B20-6807,IA-596,1996,,P,IMP,,,8,54,"-0,36","0,58",17,"1,41","0,6",55,"0,37","0,32",32,132,"-0,02",79,0,70,"-0,07",89,"0,01",60,"-0,09",13,"1,56",65,7,45,"-0,18","0,34",67,"1,23",62,"0,04",58,"0,06",47,0,73,"0,04",49,"-0,07",21,1,"0,45",3,"3,96",56
LAS LILAS 1405 ALAMO COOPER ROB MEXICANO,IA-1187,2005,,V,IMP,,,22,406,"0,11","0,75",50,"1,02","0,79",60,"-2,5","0,29",94,91,"0,12",31,"0,05",51,"0,09",42,"0,11",25,"0,05",79,"5,88",50,16,255,"0,46","0,52",58,"1,48",59,"0,06",53,"0,04",56,"0,06",53,"0,07",37,"0,04",74,"-0,23","0,63",83,"3,96",56
